strain_id,strain_name,genus,species,taxonomy_confidence,source,is_spore_former,isolation_source,host_plant,region,genome_accession,notes
PBM001,Azospirillum isscasi BD-101,Azospirillum,isscasi,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_030849505.1,extracted from bacdive dataset dsmz id 175857; formulation=liquid or peat carrier for root application; matched_prodigal_genome=azospirillum_isscasi__GCF_030849505.1; n_proteins=5816
PBM095,Pseudomonas syringae BD-195,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13025; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM096,Pseudomonas syringae BD-196,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13024; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM097,Pseudomonas syringae BD-197,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 13022; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM098,Pseudomonas syringae BD-198,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,soil,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 13020; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM099,Pseudomonas viridiflava BD-199,Pseudomonas,viridiflava,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 13016; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM100,Pseudomonas sp. BD-200,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 12973; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM101,Pseudomonas syringae BD-201,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,soil,pea,unknown,not_matched,extracted from bacdive dataset dsmz id 23205; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM102,Pseudomonas baetica BD-202,Pseudomonas,baetica,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_002813455.1,extracted from bacdive dataset dsmz id 13189; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_baetica__GCF_002813455.1; n_proteins=6180
PBM103,Pseudomonas saponiphila BD-203,Pseudomonas,saponiphila,0.95,BacDive-derived plant-associated strain table,False,endosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13187; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM104,Pseudomonas deceptionensis BD-204,Pseudomonas,deceptionensis,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_900106095.1,extracted from bacdive dataset dsmz id 13185; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_deceptionensis__GCF_900106095.1; n_proteins=4621
PBM105,Pseudomonas taiwanensis BD-205,Pseudomonas,taiwanensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,barley,unknown,not_matched,extracted from bacdive dataset dsmz id 13180; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM106,Pseudomonas lubricantis BD-206,Pseudomonas,lubricantis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13179; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM107,Pseudomonas neoaurantiaca BD-207,Pseudomonas,neoaurantiaca,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13174; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM108,Pseudomonas ficuserectae BD-208,Pseudomonas,ficuserectae,0.95,BacDive-derived plant-associated strain table,False,endosphere,soybean,unknown,GCF_024584585.1,extracted from bacdive dataset dsmz id 13168; formulation=seed dressing formulation candidate; matched_prodigal_genome=pseudomonas_ficuserectae__GCF_024584585.1; n_proteins=5930
PBM109,Pseudomonas japonica BD-209,Pseudomonas,japonica,0.95,BacDive-derived plant-associated strain table,False,endosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13165; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM110,Pseudomonas guineae BD-210,Pseudomonas,guineae,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13161; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM111,Pseudomonas chlororaphis BD-211,Pseudomonas,chlororaphis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_003851365.1,extracted from bacdive dataset dsmz id 13160; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_chlororaphis_subsp._aureofaciens__GCF_003851365.1; n_proteins=6460
PBM112,Pseudomonas aurantiaca BD-212,Pseudomonas,aurantiaca,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,barley,unknown,not_matched,extracted from bacdive dataset dsmz id 13159; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM113,Pseudomonas aureofaciens BD-213,Pseudomonas,aureofaciens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13158; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM114,Pseudomonas moorei BD-214,Pseudomonas,moorei,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 13157; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM115,Pseudomonas protegens BD-215,Pseudomonas,protegens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13154; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM116,Pseudomonas vranovensis BD-216,Pseudomonas,vranovensis,0.95,BacDive-derived plant-associated strain table,False,soil,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 13150; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM117,Pseudomonas resinovorans BD-217,Pseudomonas,resinovorans,0.95,BacDive-derived plant-associated strain table,False,endosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13147; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM118,Pseudomonas beteli BD-218,Pseudomonas,beteli,0.95,BacDive-derived plant-associated strain table,False,endosphere,cotton,unknown,not_matched,extracted from bacdive dataset dsmz id 13142; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM119,Pseudomonas azotoformans BD-219,Pseudomonas,azotoformans,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_900103345.1,extracted from bacdive dataset dsmz id 13141; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_azotoformans__GCF_900103345.1; n_proteins=5956
PBM120,Pseudomonas straminea BD-220,Pseudomonas,straminea,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13128; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM121,Pseudomonas fulva BD-221,Pseudomonas,fulva,0.95,BacDive-derived plant-associated strain table,False,endosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13126; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM122,Pseudomonas psychrophila BD-222,Pseudomonas,psychrophila,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 13120; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM123,Pseudomonas mosselii BD-223,Pseudomonas,mosselii,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13117; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM124,Pseudomonas lutea BD-224,Pseudomonas,lutea,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 13114; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM125,Pseudomonas jessenii BD-225,Pseudomonas,jessenii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13111; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM126,Pseudomonas gessardii BD-226,Pseudomonas,gessardii,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13110; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM127,Pseudomonas cremoricolorata BD-227,Pseudomonas,cremoricolorata,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_000425745.1,extracted from bacdive dataset dsmz id 13109; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_cremoricolorata__GCF_000425745.1; n_proteins=4122
PBM128,Pseudomonas parafulva BD-228,Pseudomonas,parafulva,0.95,BacDive-derived plant-associated strain table,False,endosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13108; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM129,Pseudomonas palleroniana BD-229,Pseudomonas,palleroniana,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 13107; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM130,Pseudomonas lini BD-230,Pseudomonas,lini,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,barley,unknown,not_matched,extracted from bacdive dataset dsmz id 13106; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM131,Pseudomonas psychrotolerans BD-231,Pseudomonas,psychrotolerans,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13105; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM132,Pseudomonas mediterranea BD-232,Pseudomonas,mediterranea,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 13102; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM133,Pseudomonas koreensis BD-233,Pseudomonas,koreensis,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13097; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM134,Pseudomonas rhizosphaerae BD-234,Pseudomonas,rhizosphaerae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 13096; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM135,Pseudomonas proteolytica BD-235,Pseudomonas,proteolytica,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13095; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM136,Pseudomonas antarctica BD-236,Pseudomonas,antarctica,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,GCF_900103795.1,extracted from bacdive dataset dsmz id 13093; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_antarctica__GCF_900103795.1; n_proteins=5785
PBM137,Pseudomonas lurida BD-237,Pseudomonas,lurida,0.95,BacDive-derived plant-associated strain table,False,endosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 13092; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM138,Pseudomonas extremorientalis BD-238,Pseudomonas,extremorientalis,0.95,BacDive-derived plant-associated strain table,False,soil,wheat,unknown,GCF_024584605.1,extracted from bacdive dataset dsmz id 13091; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_extremorientalis__GCF_024584605.1; n_proteins=5670
PBM139,Pseudomonas aeruginosa BD-239,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,cotton,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 130996; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM140,Pseudomonas granadensis BD-240,Pseudomonas,granadensis,0.95,BacDive-derived plant-associated strain table,False,endosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 130577; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM141,Pseudomonas guangdongensis BD-241,Pseudomonas,guangdongensis,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 130575; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM142,Pseudomonas asturiensis BD-242,Pseudomonas,asturiensis,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,soybean,unknown,GCF_900143095.1,extracted from bacdive dataset dsmz id 130574; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_asturiensis__GCF_900143095.1; n_proteins=5546
PBM143,Pseudomonas aeruginosa BD-243,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tomato,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 130565; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM144,Pseudomonas aeruginosa BD-244,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 24865; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM145,Pseudomonas sagittaria BD-245,Pseudomonas,sagittaria,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 24439; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM146,Pseudomonas punonensis BD-246,Pseudomonas,punonensis,0.95,BacDive-derived plant-associated strain table,False,soil,potato,unknown,not_matched,extracted from bacdive dataset dsmz id 24438; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM147,Pseudomonas entomophila BD-247,Pseudomonas,entomophila,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,rice,unknown,GCF_000026105.1,extracted from bacdive dataset dsmz id 24436; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_entomophila__GCF_000026105.1; n_proteins=5073
PBM148,Pseudomonas syringae BD-248,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 24421; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM149,Pseudomonas syringae BD-249,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 24420; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM150,Pseudomonas viridiflava BD-250,Pseudomonas,viridiflava,0.95,BacDive-derived plant-associated strain table,False,endosphere,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 24401; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM151,Pseudomonas fluorescens BD-251,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,common_bean,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 24373; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM152,Pseudomonas savastanoi BD-252,Pseudomonas,savastanoi,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 134749; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM153,Pseudomonas aeruginosa BD-253,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 134453; formulation=liquid or peat carrier for root application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM154,Pseudomonas putida BD-254,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 134429; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM155,Pseudomonas canadensis BD-255,Pseudomonas,canadensis,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,GCF_030980095.1,extracted from bacdive dataset dsmz id 133410; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_canadensis__GCF_030980095.1; n_proteins=5840
PBM156,Pseudomonas turukhanskensis BD-256,Pseudomonas,turukhanskensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,pea,unknown,not_matched,extracted from bacdive dataset dsmz id 133231; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM157,Pseudomonas kribbensis BD-257,Pseudomonas,kribbensis,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 131891; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM158,Pseudomonas donghuensis BD-258,Pseudomonas,donghuensis,0.95,BacDive-derived plant-associated strain table,False,soil,potato,unknown,GCF_000696345.2,extracted from bacdive dataset dsmz id 131382; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_donghuensis__GCF_000696345.2; n_proteins=5142
PBM159,Pseudomonas frederiksbergensis BD-259,Pseudomonas,frederiksbergensis,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 131078; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM160,Pseudomonas putida BD-260,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,cotton,unknown,not_matched,extracted from bacdive dataset dsmz id 130999; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM161,Pseudomonas aeruginosa BD-261,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 137804; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM162,Pseudomonas aeruginosa BD-262,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,plant_associated,sunflower,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 136459; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
PBM163,Pseudomonas putida BD-263,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,not_matched,extracted from bacdive dataset dsmz id 135753; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM164,Pseudomonas oryzihabitans BD-264,Pseudomonas,oryzihabitans,0.95,BacDive-derived plant-associated strain table,False,plant_associated,cotton,unknown,not_matched,extracted from bacdive dataset dsmz id 141648; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM165,Pseudomonas fluorescens BD-265,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 141379; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM166,Pseudomonas reidholzensis BD-266,Pseudomonas,reidholzensis,0.95,BacDive-derived plant-associated strain table,False,endosphere,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 140983; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM167,Pseudomonas wadenswilerensis BD-267,Pseudomonas,wadenswilerensis,0.95,BacDive-derived plant-associated strain table,False,soil,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 140982; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM168,Pseudomonas populi BD-268,Pseudomonas,populi,0.95,BacDive-derived plant-associated strain table,False,endosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 140904; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM169,Pseudomonas lactis BD-269,Pseudomonas,lactis,0.95,BacDive-derived plant-associated strain table,False,endosphere,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 140299; formulation=seed dressing formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM170,Pseudomonas viridiflava BD-270,Pseudomonas,viridiflava,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 144183; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM171,Pseudomonas syringae BD-271,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 142734; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM172,Pseudomonas syringae BD-272,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 142732; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM173,Pseudomonas fluorescens BD-273,Pseudomonas,fluorescens,0.95,BacDive-derived plant-associated strain table,False,soil,tomato,unknown,GCF_900215245.1,extracted from bacdive dataset dsmz id 153803; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_fluorescens__GCF_900215245.1; n_proteins=5889
PBM174,Pseudomonas viridiflava BD-274,Pseudomonas,viridiflava,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 157487; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM175,Pseudomonas syringae BD-275,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,pea,unknown,not_matched,extracted from bacdive dataset dsmz id 157475; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM176,Pseudomonas syringae BD-276,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 157473; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM177,Pseudomonas syringae BD-277,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tobacco,unknown,not_matched,extracted from bacdive dataset dsmz id 157456; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM178,Pseudomonas syringae BD-278,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,wheat,unknown,not_matched,extracted from bacdive dataset dsmz id 157454; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM179,Pseudomonas syringae BD-279,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 157453; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM180,Pseudomonas syringae BD-280,Pseudomonas,syringae,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 157447; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM181,Pseudomonas marginalis BD-281,Pseudomonas,marginalis,0.95,BacDive-derived plant-associated strain table,False,plant_associated,common_bean,unknown,not_matched,extracted from bacdive dataset dsmz id 157434; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM182,Pseudomonas corrugata BD-282,Pseudomonas,corrugata,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tomato,unknown,GCF_050920615.1,extracted from bacdive dataset dsmz id 157426; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_corrugata__GCF_050920615.1; n_proteins=5753
PBM183,Pseudomonas cichorii BD-283,Pseudomonas,cichorii,0.95,BacDive-derived plant-associated strain table,False,plant_associated,tobacco,unknown,GCF_018343775.1,extracted from bacdive dataset dsmz id 157422; formulation=universal bioinoculant candidate; matched_prodigal_genome=pseudomonas_cichorii__GCF_018343775.1; n_proteins=5085
PBM184,Pseudomonas hydrolytica BD-284,Pseudomonas,hydrolytica,0.95,BacDive-derived plant-associated strain table,False,soil,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 160316; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM185,Pseudomonas saxonica BD-285,Pseudomonas,saxonica,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 159624; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM186,Pseudomonas saxonica BD-286,Pseudomonas,saxonica,0.95,BacDive-derived plant-associated strain table,False,plant_associated,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 159623; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM187,Pseudomonas moraviensis BD-287,Pseudomonas,moraviensis,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,soybean,unknown,not_matched,extracted from bacdive dataset dsmz id 159531; formulation=foliar spray formulation candidate; matched_prodigal_genome=none; n_proteins=0
PBM188,Pseudomonas floridensis BD-288,Pseudomonas,floridensis,0.95,BacDive-derived plant-associated strain table,False,phyllosphere,tomato,unknown,GCF_002087235.1,extracted from bacdive dataset dsmz id 158761; formulation=foliar spray formulation candidate; matched_prodigal_genome=pseudomonas_floridensis__GCF_002087235.1; n_proteins=5718
PBM189,Pseudomonas salomonii BD-289,Pseudomonas,salomonii,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 158046; formulation=soil drench or in-furrow application; matched_prodigal_genome=none; n_proteins=0
PBM190,Pseudomonas sp. BD-290,Pseudomonas,sp.,0.95,BacDive-derived plant-associated strain table,False,rhizosphere,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 157811; formulation=liquid or peat carrier for root application; matched_prodigal_genome=none; n_proteins=0
PBM191,Pseudomonas putida BD-291,Pseudomonas,putida,0.95,BacDive-derived plant-associated strain table,False,plant_associated,rice,unknown,not_matched,extracted from bacdive dataset dsmz id 162815; formulation=universal bioinoculant candidate; matched_prodigal_genome=none; n_proteins=0
PBM192,Pseudomonas aeruginosa BD-292,Pseudomonas,aeruginosa,0.95,BacDive-derived plant-associated strain table,False,soil,rice,unknown,GCF_000006765.1,extracted from bacdive dataset dsmz id 162724; formulation=soil drench or in-furrow application; matched_prodigal_genome=pseudomonas_aeruginosa__GCF_000006765.1; n_proteins=5681
